DH	INJV	Xt	Mt	XMt	NDH
-796.59036	8	0	0.212	0.65971	-3982.95179
-437.85523	8	0.13908	0.21082	1.3231	-2189.27615
-242.85234	8	0.27738	0.20965	1.99015	-1214.2617
-196.75705	8	0.41491	0.20848	2.66087	-983.78527
-183.99409	8	0.55166	0.20732	3.33526	-919.97043
-183.15421	8	0.68762	0.20617	4.01333	-915.77105
-185.4336	8	0.82281	0.20502	4.69506	-927.16801
-189.43672	8	0.95723	0.20388	5.38046	-947.18359
-192.87694	8	1.09086	0.20274	6.06954	-964.38468
-197.66906	8	1.22372	0.20162	6.76228	-988.34532
-200.44818	8	1.3558	0.20049	7.4587	-1002.2409
-205.05612	8	1.4871	0.19938	8.15878	-1025.28061
-207.76387	8	1.61762	0.19827	8.86254	-1038.81934
-212.38287	8	1.74736	0.19716	9.56996	-1061.91436
-215.14892	8	1.87633	0.19606	10.28106	-1075.74462
-218.15501	8	2.00452	0.19497	10.99582	-1090.77504
-221.60966	8	2.13193	0.19389	11.71426	-1108.04828
-224.89212	8	2.25856	0.1928	12.43636	-1124.46061
-227.32612	8	2.38441	0.19173	13.16214	-1136.63058
-230.5682	8	2.50949	0.19066	13.89158	-1152.841
-232.13219	8	2.63379	0.1896	14.6247	-1160.66094
-235.35577	8	2.7573	0.18854	15.36148	-1176.77886
-237.71969	8	2.88005	0.18748	16.10194	-1188.59846
-240.20598	8	3.00201	0.18644	16.84607	-1201.02991
-242.2048	8	3.12319	0.1854	17.59386	-1211.02398
-245.04354	8	3.2436	0.18436	18.34533	-1225.2177
-246.40309	8	3.36323	0.18333	19.10047	-1232.01545
-249.28787	8	3.48208	0.1823	19.85927	-1246.43933
-250.41005	8	3.60015	0.18128	20.62175	-1252.05023
-252.48003	8	3.71745	0.18027	21.3879	-1262.40017
	--	3.83397	0.17926	--	
